121|78|A
76|260|B
117|3126|B
121|48|B
61|2889|B
62|3068|B
49|2538|A
27|10|A
70|3374|A
91|1990|A
89|3515|A
30|1883|B
36|1790|A
112|136|B
110|2692|B
35|331|A
78|602|A
18|594|B
28|1747|A
37|1264|A
55|321|B
3|2352|B
73|2307|A
85|1800|B
73|664|B
60|1700|B
29|2977|B
126|2913|B
35|749|A
30|1189|B
116|1850|A
70|867|B
118|2688|A
2|3104|A
88|1739|B
58|876|A
114|2415|B
30|2899|A
38|2714|B
121|3430|A
84|870|A
87|2851|A
116|1167|A
34|637|B
26|2800|B
132|699|B
81|1221|B
85|627|B
120|290|A
103|1522|A
17|1074|A
51|3533|A
15|1000|A
10|403|B
67|2400|B
36|281|B
17|1316|A
122|2210|B
119|3400|A
79|3614|B
83|105|B
42|2828|A
27|1504|B
100|3213|A
77|2127|B
16|2847|B
69|2946|B
20|2233|B
63|589|A
39|2524|B
17|2230|B
35|1620|B
5|272|B
29|2005|B
42|2334|A
48|91|B
110|3429|B
133|1001|A
74|372|B
25|642|A
70|596|A
59|3270|B
77|2743|A
110|603|B
115|2248|B
31|35|B
55|1114|A
131|488|B
48|655|A
128|3302|B
52|3132|A
23|1099|A
37|1284|A
3|85|A
17|1111|B
26|2131|B
16|1144|B
1|2333|B
61|2015|B
34|188|B
127|3214|B
93|3441|A
90|2299|B
124|580|A
65|1211|A
110|2211|A
101|1102|B
128|1940|A
66|2154|A
18|3544|A
81|644|A
37|1307|A
53|1526|B
9|3394|B
80|2322|A
24|349|B
74|1150|B
16|1406|A
45|1435|B
22|1990|A
131|1961|B
15|3375|A
25|3029|A
11|471|B
108|1073|A
18|2537|A
32|3586|A
98|1505|A
11|3302|B
12|1541|B
115|3082|B
98|2223|A
26|2415|B
61|3330|B
71|300|A
86|1295|B
124|3170|A
30|2339|A
34|2962|A
112|2443|B
112|279|B
13|1137|A
90|1723|B
68|1195|A
78|462|B
2|2379|A
15|2860|B
28|1283|B
70|167|B
133|1086|B
61|1674|A
25|1017|B
12|1799|B
102|1398|A
7|2562|A
98|2328|A
9|1329|B
103|1758|A
13|3074|A
109|1011|B
16|1241|B
19|1926|B
96|1188|B
14|711|B
90|2591|A
90|1867|A
48|1405|B
94|89|A
25|2238|A
10|22|B
97|1031|B
116|2584|A
65|1212|A
64|1802|A
37|2719|A
94|849|A
15|1752|A
119|1781|A
68|1544|B
115|3035|B
122|1983|A
127|3211|B
16|1291|B
6|2606|A
65|2598|A
116|875|B
105|2861|A
73|3150|B
8|2268|A
60|1207|B
106|3009|B
12|2374|A
