78|799|42
75|880|138
25|547|147
5|219|85
85|642|134
94|399|133
83|441|52
6|776|8
55|293|90
89|41|141
74|440|70
44|99|5
61|414|26
63|538|129
16|832|92
9|714|137
57|483|32
43|50|148
55|190|126
55|657|16
80|768|54
67|551|25
10|721|77
47|862|99
14|883|39
95|557|63
86|316|26
44|881|44
81|708|117
45|333|97
89|151|117
11|623|25
63|64|65
63|658|134
19|727|74
37|485|71
84|845|65
79|423|98
31|200|77
79|739|85
92|247|141
44|210|132
62|538|146
18|335|24
25|701|132
1|518|21
10|270|127
37|592|92
88|686|5
91|261|113
74|227|63
40|794|52
16|116|16
87|893|131
22|158|144
63|535|94
10|44|36
70|413|142
5|794|88
55|378|26
8|424|9
14|289|140
12|425|74
73|288|62
82|325|15
34|53|50
26|64|144
70|285|107
72|784|92
30|871|106
14|65|120
74|433|84
41|481|59
29|8|52
17|455|51
25|211|1
70|48|38
36|233|71
53|639|13
87|447|47
38|792|33
52|183|84
12|155|17
60|296|114
49|189|17
43|153|137
94|677|59
98|821|49
96|782|56
20|524|65
13|18|88
80|593|65
67|444|16
58|380|5
74|712|91
60|465|145
22|515|122
24|698|102
53|562|79
40|179|61
72|611|81
87|289|67
59|18|139
77|222|113
98|798|138
7|850|123
81|109|54
32|272|131
57|85|89
39|177|73
25|608|9
78|61|37
95|700|76
37|670|58
12|674|147
20|608|68
90|704|11
68|494|28
63|291|50
37|596|32
55|717|38
42|136|16
31|168|113
52|326|147
69|545|26
69|652|135
60|197|105
38|510|72
59|321|112
48|580|129
42|597|108
56|825|148
33|818|47
22|115|122
10|356|92
9|545|94
28|774|63
8|113|142
68|859|105
100|116|47
45|625|99
60|875|8
83|228|73
81|872|147
31|159|96
27|631|69
15|601|126
11|208|14
67|790|89
28|807|111
99|344|64
42|99|119
45|250|132
96|832|64
30|817|44
22|833|91
54|547|27
67|236|127
60|784|133
41|367|11
86|851|101
67|556|41
83|777|3
1|829|41
66|460|28
91|96|140
64|831|140
54|879|25
69|898|49
78|548|41
63|317|107
48|389|108
75|188|124
35|88|65
54|584|117
24|689|125
50|60|25
78|772|149
77|590|10
97|663|137
89|397|30
33|766|62
92|839|10
18|39|117
81|160|130
17|882|59
72|676|125
27|599|128
7|758|33
100|16|109
60|496|10
70|579|23
53|138|59
17|602|76
65|215|95
36|54|113
80|511|146
54|732|114
71|242|115
28|721|146
50|850|22
29|568|93
58|47|145
44|207|132
94|98|129
74|866|100
54|564|56
74|31|31
64|544|123
54|745|110
86|471|39
51|113|90
88|590|66
98|446|22
82|661|127
53|152|2
82|807|42
82|642|94
87|116|72
30|671|48
60|478|41
48|420|130
100|438|76
49|227|126
81|209|6
37|717|124
55|437|114
76|704|77
38|629|24
76|366|136
25|122|141
71|176|52
23|484|13
82|540|86
49|134|49
73|644|37
47|751|131
50|631|113
55|575|140
97|632|55
61|714|71
62|174|70
21|179|82
24|570|132
31|485|95
83|587|34
4|842|85
71|674|30
34|52|38
22|725|136
44|767|111
63|405|18
88|59|92
24|772|25
14|678|98
26|255|64
26|433|54
4|345|67
86|369|121
37|116|45
54|804|39
35|612|117
30|454|45
59|299|20
13|711|26
45|529|56
87|704|29
22|586|130
57|343|34
40|681|29
74|374|67
79|702|65
5|338|76
6|525|45
68|705|10
81|663|42
55|6|100
68|761|103
30|745|4
95|725|1
32|511|14
75|455|106
63|376|124
11|745|51
44|609|88
34|764|94
60|259|56
5|759|132
68|197|8
9|127|93
39|250|2
52|5|25
60|374|51
25|401|93
80|283|47
15|221|42
90|352|101
62|874|35
81|691|35
51|380|101
9|169|44
87|486|146
22|757|78
74|514|26
24|477|148
20|521|83
69|500|103
49|727|66
63|193|15
74|875|126
84|535|7
47|88|66
100|386|5
7|163|89
16|364|47
62|456|53
75|416|34
60|736|13
33|122|111
77|326|10
27|670|24
13|367|115
100|553|17
16|643|112
37|868|50
73|845|14
85|517|146
33|173|62
51|209|72
80|620|144
11|498|33
41|347|78
55|843|65
74|652|121
19|211|84
92|664|35
35|210|91
82|436|5
25|461|34
48|699|113
52|533|4
63|795|53
98|264|147
34|328|127
10|460|124
34|706|99
70|385|90
18|841|27
42|663|104
13|252|45
10|459|27
68|725|83
4|454|125
12|448|127
73|472|0
66|223|91
24|719|65
35|800|36
16|871|102
84|136|14
29|181|23
92|894|119
73|609|114
4|585|59
78|111|144
35|473|33
18|469|81
22|815|102
4|550|127
80|478|57
3|461|118
35|21|101
57|840|92
77|388|33
33|103|8
31|681|74
94|14|99
61|675|63
18|825|6
89|665|50
16|148|80
29|848|46
14|285|17
85|352|85
89|368|10
2|747|41
48|140|60
1|316|105
83|193|140
52|746|133
78|498|42
59|578|76
54|749|14
42|217|23
59|572|71
34|812|81
10|375|132
62|655|136
38|667|39
24|701|83
88|540|58
80|480|11
33|65|143
9|271|37
59|96|34
67|650|105
96|225|140
59|639|72
32|442|44
68|835|111
56|710|40
71|146|103
66|221|55
44|500|11
53|621|80
35|383|94
7|101|45
6|403|26
31|406|51
17|114|17
71|111|128
6|487|16
94|750|66
31|814|119
8|892|128
9|629|94
56|223|6
82|180|7
64|877|147
89|784|139
67|336|43
54|8|98
79|696|96
92|601|62
93|480|32
7|520|114
77|215|114
57|185|116
28|702|60
51|61|99
28|800|69
27|697|61
96|10|70
11|490|129
43|551|123
39|52|21
39|819|71
4|13|52
63|787|36
37|445|53
35|829|84
51|105|5
58|720|91
27|891|121
8|759|37
53|690|65
61|263|41
14|345|130
33|111|52
41|307|104
80|806|103
2|858|116
82|713|39
36|697|27
10|435|56
76|442|101
64|413|123
96|21|134
68|47|70
87|689|107
87|429|41
49|736|147
42|414|120
89|418|9
26|692|17
69|752|146
100|230|123
37|724|30
81|886|32
82|632|135
95|74|28
82|348|36
84|593|51
66|294|128
84|450|89
89|662|51
20|620|20
75|620|109
63|341|82
92|157|146
2|782|20
33|183|130
69|727|39
99|851|105
61|358|135
93|676|67
67|36|118
54|587|14
9|534|64
53|309|37
3|813|43
61|382|72
99|139|24
10|605|7
38|802|27
31|597|50
97|777|66
62|713|88
44|446|23
1|876|5
45|247|15
22|514|144
8|837|86
22|677|128
62|646|95
23|656|51
36|100|1
74|60|109
18|93|146
14|337|29
16|202|42
40|742|96
55|530|132
54|159|60
32|258|132
46|830|88
34|478|26
71|548|132
24|248|117
24|235|14
62|623|127
48|436|83
63|37|115
16|425|64
47|627|51
98|437|11
24|704|149
64|95|78
74|27|105
53|32|138
84|387|55
45|589|88
46|370|81
84|840|100
79|860|12
21|595|97
44|240|96
73|379|80
59|573|96
5|293|44
99|28|74
70|356|123
46|703|141
82|160|45
75|306|57
94|896|93
28|336|34
66|707|43
77|758|58
57|874|6
27|490|88
14|227|97
61|706|85
76|34|4
60|344|16
27|804|149
88|571|131
13|483|97
12|707|122
81|283|40
1|471|7
62|761|103
76|889|6
48|877|141
25|506|83
8|261|9
38|444|93
42|351|93
63|516|108
44|447|88
16|63|46
19|805|71
94|95|41
43|279|81
71|143|44
6|538|44
96|898|87
95|792|125
61|76|143
27|173|147
24|270|116
90|594|96
54|166|41
33|458|133
31|721|16
14|596|45
13|459|58
69|796|1
57|356|78
63|461|140
14|39|17
98|634|31
29|682|40
38|428|32
83|328|29
19|149|43
76|624|54
38|115|28
67|344|28
55|156|118
7|372|45
57|301|32
63|592|9
54|493|44
28|687|4
84|400|83
1|891|112
79|117|4
64|406|31
73|881|61
61|384|133
82|166|36
5|397|102
92|572|76
63|257|51
89|628|133
56|658|57
92|81|51
70|285|63
36|9|80
94|157|139
75|584|2
6|873|107
67|847|4
76|495|36
4|698|70
57|92|42
76|754|21
78|740|21
10|400|16
36|281|83
1|611|113
12|442|29
64|56|100
58|790|90
52|519|8
23|223|110
99|744|80
35|442|77
26|880|26
39|699|37
27|470|144
5|379|29
73|605|135
19|228|45
21|204|96
28|454|116
26|835|95
4|87|100
2|505|53
76|873|47
79|831|20
15|520|124
67|320|95
96|468|112
23|839|12
20|598|10
49|145|101
31|824|29
68|426|39
23|85|142
52|53|104
91|274|136
7|148|82
17|249|90
31|832|129
70|719|113
11|744|88
13|896|124
59|587|109
48|864|49
82|387|84
95|615|126
62|664|124
64|240|6
30|874|15
47|794|141
34|789|29
11|282|39
75|196|127
2|755|81
51|392|99
75|315|146
99|766|100
97|334|144
26|777|27
88|349|133
79|798|47
98|79|108
96|136|135
73|202|23
76|718|16
48|880|61
31|66|82
86|263|52
3|802|147
84|457|124
48|846|134
6|556|85
37|868|76
70|150|23
23|177|122
38|118|131
16|892|143
46|644|8
96|554|36
20|785|46
47|661|145
67|776|129
3|376|111
74|312|119
25|885|61
47|778|53
55|519|20
22|482|74
6|351|94
14|842|138
63|435|149
71|255|35
86|431|90
34|786|143
78|560|79
54|900|76
91|431|63
15|604|83
41|238|146
31|237|24
85|205|4
75|834|51
27|773|41
68|473|24
29|588|45
56|496|4
5|885|129
80|27|82
24|368|111
66|593|27
48|856|81
73|628|37
18|354|72
21|466|96
68|509|102
12|752|121
44|826|71
35|808|68
91|613|125
37|296|89
42|764|93
89|646|71
87|157|123
79|439|88
93|186|147
15|664|115
30|491|62
86|208|9
17|727|127
86|158|19
60|439|48
57|807|22
11|630|117
35|672|29
59|653|75
56|42|100
95|450|111
57|187|9
39|496|86
58|92|84
53|626|72
81|150|71
31|166|58
16|346|12
2|49|76
69|536|125
41|260|27
40|651|116
31|795|51
6|678|29
30|346|43
5|639|123
58|702|52
83|231|16
31|288|79
41|383|138
76|228|88
55|407|24
44|604|23
71|664|140
70|604|25
17|522|108
2|515|79
15|693|103
39|565|11
91|740|73
48|443|21
99|579|86
88|287|79
92|59|61
74|494|31
67|804|97
28|720|108
23|123|2
55|565|149
28|728|120
96|138|72
25|325|113
14|53|124
64|253|20
27|710|49
16|26|62
64|387|122
54|632|42
9|842|19
22|36|98
13|676|6
22|850|124
14|709|86
48|153|116
37|771|129
6|233|127
94|180|132
19|160|100
13|371|132
51|644|56
98|417|90
49|697|36
23|741|25
12|292|138
2|44|121
14|127|114
94|387|7
21|436|90
69|350|103
6|373|24
12|128|50
70|664|17
38|337|67
91|418|29
54|127|39
23|680|31
43|810|42
84|258|51
46|699|0
11|84|33
65|846|87
89|159|34
94|604|36
4|473|13
36|264|45
15|537|109
76|481|138
29|595|39
70|265|144
12|827|112
78|666|60
32|128|137
79|599|66
19|223|36
31|609|124
44|208|27
75|135|111
41|16|115
55|742|147
39|466|134
67|629|94
16|586|61
33|447|117
74|731|27
10|86|142
18|446|54
11|851|29
32|422|115
44|161|28
63|685|36
48|182|101
29|825|138
26|40|61
12|257|29
26|874|92
100|622|7
22|358|88
87|675|12
89|360|37
88|474|148
33|429|116
84|416|13
93|170|75
26|304|128
47|30|17
30|474|84
76|579|113
11|89|2
82|294|130
43|733|142
81|565|55
37|589|38
39|168|37
42|620|20
82|54|113
39|369|42
30|781|16
62|750|7
4|9|96
9|791|71
62|475|119
65|395|2
40|224|15
15|36|125
94|106|128
88|793|22
97|648|44
3|361|46
59|338|78
90|723|127
5|231|57
63|94|31
6|142|55
39|398|116
98|205|16
37|616|24
57|574|139
70|146|82
67|745|140
52|737|147
27|643|118
75|380|42
52|370|114
7|586|94
49|724|30
96|602|11
59|154|36
85|801|141
48|586|143
72|286|49
76|401|140
81|290|51
13|289|36
34|348|93
45|6|111
58|401|137
79|706|117
12|592|86
98|571|52
91|361|139
56|297|110
6|406|91
36|579|72
72|519|65
75|299|50
22|722|149
13|404|30
16|608|118
7|301|94
74|71|63
24|405|144
72|210|32
38|880|108
86|203|38
12|346|71
85|479|60
48|685|105
30|704|111
97|810|36
89|33|85
67|25|94
19|450|120
80|554|54
84|35|24
36|515|105
69|813|140
40|231|128
45|604|28
39|182|69
68|302|124
11|771|102
50|194|43
29|146|115
84|426|4
8|738|147
78|152|30
75|731|14
100|844|5
86|275|103
1|537|138
15|668|40
84|309|47
89|74|76
82|126|1
15|419|114
51|190|55
8|440|53
2|1|40
3|1|50
2|1|140
3|1|80
2|1|90
3|1|46
2|1|149
3|1|138
2|1|126
3|1|99
2|1|24
3|1|36
1|1|0
1|1|1
101|1|15
101|1|16
101|1|17
101|1|105
101|1|106
101|1|107
101|1|108
101|1|109
101|1|126
101|1|127
101|1|128
101|1|129
101|1|83
101|1|84
10|19|112
10|1|125
101|7|7
101|7|1
101|7|3
101|7|106
101|7|108
101|7|109
101|7|114
101|7|113
101|7|135
101|7|140
102|1|60
102|1|61
