3344|12
254|11
1536|1
2877|12
1763|9
670|4
268|2
1324|10
1096|5
1577|1
725|1
3347|1
2286|2
1116|12
216|5
2420|13
57|2
1656|1
2075|12
2139|8
1688|13
725|1
3566|12
699|10
985|5
1003|3
2504|5
2846|8
1823|14
2909|14
3438|7
454|2
510|6
2202|13
2553|6
1404|12
2086|8
1579|14
1732|2
2679|13
940|12
115|8
2111|11
1511|6
3593|12
2300|5
260|10
2741|7
865|6
168|9
3493|5
2156|1
2746|14
413|9
1079|4
2803|14
315|4
1112|14
1344|1
2759|11
153|12
3395|12
261|3
1568|11
2074|13
1816|2
3482|6
2388|11
3083|2
2678|2
1181|2
1418|5
1910|5
2602|5
2562|13
2349|1
2064|11
2375|2
2828|7
880|3
3248|2
747|11
2115|4
2224|9
810|3
2881|2
894|4
645|10
3124|8
2089|1
1697|7
2987|3
1023|2
2677|10
3434|13
2788|9
3091|4
2583|14
2009|13
869|2
286|10
1461|11
1592|11
367|12
1805|1
2770|7
1162|11
1182|4
548|10
3316|5
1407|5
1247|9
682|6
642|3
145|11
2632|12
3400|2
516|3
1235|6
2350|8
963|11
1942|10
3195|5
1159|2
1457|9
2865|14
3075|13
1463|10
574|7
1443|13
985|8
3166|11
59|8
2056|4
2662|3
2660|13
1293|8
1406|6
1266|5
2047|6
3020|4
2266|14
334|11
2066|1
2273|14
3037|6
842|2
2482|2
2661|3
720|2
3438|13
3054|13
2141|3
2977|3
2161|5
1151|2
2916|10
1865|14
3072|8
549|12
2677|6
2625|14
240|3
1406|6
12|8
3299|5
63|5
3062|6
91|4
1193|2
2866|11
2143|5
2530|4
380|2
2863|7
731|4
2651|10
895|6
3514|13
1298|9
2982|4
3219|11
310|1
1216|7
2169|12
3614|11
1748|1
720|14
2810|2
2814|1
1878|10
102|1
2547|4
1446|13
1868|1
10|12
2119|11
535|8
1655|10
1257|5
1972|14
2098|6
942|3
609|9
2096|6
1499|7
2370|2
621|14
1987|11
1242|13
2034|6
1822|5
2167|8
1816|8
3525|14
1919|10
78|9
321|14
2882|9
1640|9
3480|5
1989|12
2123|7
3275|12
2028|1
680|4
1973|6
108|11
1068|1
3057|1
734|12
461|9
2756|2
3129|8
1914|9
1755|6
1689|4
132|3
2888|5
1426|5
1636|1
1722|1
1594|6
1104|9
3512|13
1397|7
2488|14
3554|9
1070|10
930|6
2844|2
124|8
796|6
1534|3
1926|14
10|6
3136|1
2800|2
146|10
2454|7
3517|8
3049|13
427|5
2316|9
3381|2
1782|8
1132|10
2210|6
1249|8
1757|4
3527|12
2023|13
1894|14
742|1
2949|1
3563|4
1035|1
2058|3
2636|9
807|12
3601|5
1710|5
1638|14
887|1
3533|10
1689|10
573|12
2523|14
2790|12
591|8
1353|5
1718|4
2694|6
69|5
1085|14
2080|3
1693|14
2709|10
2757|9
297|6
2190|12
3126|14
107|2
2992|2
1701|5
2619|1
905|13
2065|1
2591|11
1716|4
2447|6
964|1
2229|1
241|3
130|7
532|11
349|7
2096|14
999|5
3372|14
2796|12
1485|4
935|9
3414|4
1200|7
2972|14
2673|1
1661|9
1459|4
2130|8
287|11
2724|8
3251|8
2294|12
2178|6
919|3
3561|10
2233|3
1291|1
1126|12
195|1
1090|1
3137|7
1013|9
570|6
1084|12
2473|12
1422|4
1167|4
1195|5
1323|5
294|3
782|8
1055|2
386|9
1083|7
3237|2
3588|11
3576|2
1253|7
483|7
1200|9
1138|6
598|4
2066|13
296|2
3070|11
2073|10
1830|1
1601|5
1304|7
1537|4
684|7
3151|6
3553|12
920|10
2983|13
692|13
364|3
2233|11
3578|8
1718|1
238|14
1329|3
370|12
2904|14
3003|13
3610|2
2094|13
532|8
2671|2
951|10
3162|14
824|9
2601|9
969|9
1281|9
268|12
3316|2
2575|11
2924|12
1171|5
2808|11
2843|1
3208|5
857|6
2321|14
2092|2
1518|13
3354|4
711|8
1175|14
2649|4
2152|6
3460|1
2467|13
1532|2
3197|11
1573|13
1248|6
459|7
1227|12
1685|11
194|7
2205|6
497|6
2535|9
574|1
241|2
2216|13
2333|13
1752|7
2699|1
2395|12
3329|5
1464|11
1037|7
689|6
157|11
2132|7
842|11
2044|5
2086|5
933|1
3229|1
2559|7
387|7
3431|1
371|13
3508|14
2117|3
742|12
1846|4
2646|1
102|8
3061|5
1079|3
26|1
310|10
1834|6
276|9
1424|13
851|1
1082|8
2085|6
2442|2
2697|13
341|5
2242|5
3482|5
2085|13
1493|7
1889|1
2675|1
1403|7
728|12
1291|3
3581|4
2248|2
101|13
1355|9
2780|5
921|14
2126|14
1920|13
1146|8
1074|6
2797|9
3275|12
2695|2
335|7
1247|4
324|4
2140|14
2609|9
2134|8
3497|4
191|9
829|14
660|5
2765|14
2972|5
2118|11
1274|10
778|3
762|10
2459|4
2095|13
41|13
840|3
1781|4
486|11
1936|8
2362|6
1623|2
997|9
2187|11
1304|13
2897|6
1899|5
2408|5
2203|13
2600|3
1963|1
2533|13
1456|10
2773|9
1830|13
978|13
2115|6
688|8
74|1
3175|1
2714|8
2588|4
2449|7
1448|13
1363|2
986|6
3335|1
1787|8
2215|7
3316|4
2373|1
2125|9
1778|10
2390|1
1275|12
237|9
498|4
1504|6
189|12
89|10
3329|10
1507|9
2247|10
3566|2
2415|3
671|8
2447|13
1592|7
3157|3
2772|5
2440|6
257|3
3593|8
3024|14
369|14
560|11
689|1
999|7
2896|6
2930|14
869|14
849|10
1878|2
2745|1
337|5
2097|2
3585|3
647|8
2068|13
2932|8
501|7
85|6
2729|13
2801|2
752|11
652|6
1576|10
2348|8
2561|9
1680|1
2501|8
524|10
2158|3
3573|12
2855|3
1596|2
2130|7
3433|10
1732|4
2371|3
352|2
2954|10
3176|8
1216|10
199|2
607|6
202|3
2916|10
264|3
1546|4
2941|12
822|12
3542|14
179|13
1663|11
521|14
2482|10
1160|1
2565|13
703|7
2598|9
197|13
3479|4
570|11
308|8
1816|13
3250|7
1489|9
3065|1
1776|12
2662|11
3559|1
3336|7
246|7
1690|11
1331|8
2032|11
1924|1
703|9
1080|7
2037|13
1328|14
3105|4
309|2
3306|12
1500|11
1194|12
453|4
3469|14
2766|5
91|8
3414|7
871|3
973|7
364|6
2971|4
401|2
737|2
639|11
2212|3
3533|14
534|9
2818|14
3188|1
177|2
891|1
2492|5
1097|13
2778|5
2584|1
827|5
387|13
1578|13
505|7
913|1
2049|7
3563|10
59|13
900|2
1534|8
3382|1
3476|13
19|14
2546|3
1911|8
554|1
2874|14
600|9
2900|12
538|2
1580|11
1393|1
448|8
2531|12
735|2
3478|8
2398|11
3205|14
2991|4
2523|13
2632|1
1117|6
1599|9
41|2
764|7
236|3
1986|9
741|1
2232|4
3502|4
1108|2
1035|13
480|13
3548|2
353|3
2162|6
1720|6
1245|6
2108|5
2195|3
391|8
1580|11
2879|3
1381|2
267|5
3481|13
588|14
157|6
3095|4
128|7
493|13
494|10
829|7
1354|13
890|9
356|1
1676|10
1650|5
630|3
2139|10
454|12
381|6
1292|14
562|9
1690|12
475|10
653|11
2451|11
3402|13
2370|2
1577|8
2757|2
1597|3
3024|5
1750|8
516|5
3217|8
1238|8
3434|2
408|6
1548|5
2435|8
2469|10
33|13
1799|11
3517|7
3221|1
1383|5
2027|8
3540|8
2876|7
68|9
1870|9
3040|12
2623|6
1493|10
2397|14
2334|9
130|10
1971|11
2604|7
3052|1
1659|7
78|12
1058|12
1626|14
1376|4
1875|2
2016|1
1713|1
2232|8
2898|11
1170|2
2325|5
2787|1
285|1
3144|12
3205|11
3534|2
1824|12
949|13
1628|5
609|5
3582|14
3168|3
1728|5
3073|2
2903|2
457|6
883|1
799|2
3532|14
2828|14
124|2
1908|9
449|9
3077|14
1028|2
2547|7
2012|7
2319|12
3264|2
1947|12
3537|8
1397|14
51|9
2630|11
103|2
1085|10
99|4
804|10
699|12
1190|2
1931|6
2154|13
3332|13
917|14
700|9
2749|4
1203|3
1101|4
3050|13
1635|10
1911|11
937|1
1815|5
2749|9
2851|5
2183|1
3009|4
1923|1
3512|8
2529|1
2427|12
555|13
1897|7
3311|11
3345|14
1505|10
812|12
